task_id,condition,round_num,fingerprint_distance,af_class,wall_time_s,timestamp
HumanEval/49,C,2,0.101108,correct,863.49,2026-04-25T20:34:28.870025+00:00
HumanEval/49,C,FINAL,,correct,863.49,2026-04-25T20:34:28.870025+00:00
HumanEval/47,C,FINAL,ERROR,ERROR,5274.40,2026-04-25T21:23:50.871098+00:00
HumanEval/48,C,1,0.000000,degraded,843.85,2026-04-25T21:48:41.606274+00:00
HumanEval/48,C,2,0.254174,degraded,843.85,2026-04-25T21:48:41.606274+00:00
HumanEval/48,C,3,0.341885,degraded,843.85,2026-04-25T21:48:41.606274+00:00
HumanEval/48,C,4,0.455732,degraded,843.85,2026-04-25T21:48:41.606274+00:00
HumanEval/48,C,FINAL,,degraded,843.85,2026-04-25T21:48:41.606274+00:00
HumanEval/47,C,1,0.000000,degraded,1914.11,2026-04-25T22:06:31.861830+00:00
HumanEval/47,C,2,0.149078,degraded,1914.11,2026-04-25T22:06:31.861830+00:00
HumanEval/47,C,3,0.299161,degraded,1914.11,2026-04-25T22:06:31.861830+00:00
HumanEval/47,C,4,0.152243,degraded,1914.11,2026-04-25T22:06:31.861830+00:00
HumanEval/47,C,FINAL,,degraded,1914.11,2026-04-25T22:06:31.861830+00:00
